metric,prefix,N,MAD_anchor,MAD_arecho,MAD_anchor_CI_low,MAD_anchor_CI_high,MAD_arecho_CI_low,MAD_arecho_CI_high,mean_anchor,mean_arecho,std_anchor,std_arecho,anchor_over_rate,anchor_under_rate,arecho_over_rate,arecho_under_rate,anchor_bias,arecho_bias,anchor_bias_CI_low,anchor_bias_CI_high,arecho_bias_CI_low,arecho_bias_CI_high,skew_anchor,skew_arecho,p_value,cohen_d
nisqa_dis_pred,6,74,0.8289659433103236,0.554689414361705,0.6325228220076873,1.0438940521080964,0.4343166500918706,0.6754175388339442,-0.24299375627957734,-0.03511124529073066,1.2329272731549954,0.7834061754523101,0.5,0.5,0.5,0.5,-0.24299375627957734,-0.03511124529073066,-0.5310687366699558,0.047045062819586106,-0.20876152672461484,0.1406593789074691,0.0,0.0,0.11130630090233415,-0.18737575785656307
nisqa_dis_pred,8,49,0.5395559653005935,0.5042934703608046,0.3821821558591274,0.7095697268319712,0.37107641615664194,0.6563514652190936,-0.0684696853468627,-0.04065111513734196,0.8102505369957337,0.7413428419011437,0.4897959183673469,0.5102040816326531,0.5510204081632653,0.4489795918367347,-0.0684696853468627,-0.04065111513734196,-0.28877793707123894,0.1495036311643641,-0.24369946610911938,0.15846021666300908,-0.020408163265306145,0.10204081632653056,0.8219069273612242,-0.032332653418767655
se_si_snr,2,94,5.859910066731261,7.476113314468116,4.286217483729417,7.636941444814283,5.0415332584701,10.244552710875334,0.14418262910340746,-4.133567231783274,10.446627760350234,13.866323740485358,0.6382978723404256,0.3617021276595745,0.43617021276595747,0.5638297872340425,0.14418262910340746,-4.133567231783274,-2.065094474644089,2.143291201063457,-7.197940293754063,-1.519650363571682,0.2765957446808511,-0.12765957446808507,0.0008926097134117556,0.3540967507877764
se_si_snr,4,89,4.661829405357614,4.155259819124307,3.3934950916357884,6.056549180319888,2.820620729098032,5.5906593836457334,1.9422481285673654,-1.6170248878526101,7.650115672285268,7.807621814869017,0.6629213483146067,0.33707865168539325,0.4044943820224719,0.5842696629213483,1.9422481285673654,-1.6170248878526101,0.36054543502923664,3.6849259643905263,-3.327792706275462,0.0011294085240435045,0.32584269662921345,-0.1797752808988764,8.052157483559662e-06,0.5028162687338064
se_si_snr,6,74,5.413183900423435,5.068671184702842,3.8449963013318156,7.144510854378545,3.273379138535827,7.136903790986976,2.3063319488238996,-1.3968506499722197,8.869393703950472,9.469588593294484,0.6891891891891891,0.3108108108108108,0.40540540540540543,0.5945945945945946,2.3063319488238996,-1.3968506499722197,0.27918798248884524,4.359962735182806,-3.712375062773837,0.6132746253826578,0.37837837837837834,-0.1891891891891892,1.6163360944067848e-06,0.6068625359219412
se_si_snr,8,49,5.975664732544336,4.62625489693354,3.8265881082379676,8.260020855299986,2.694639886482487,7.139708609155516,-0.09441987786778851,-2.561469263067481,9.805650027146182,9.009367447082212,0.5510204081632653,0.4489795918367347,0.3877551020408163,0.6122448979591837,-0.09441987786778851,-2.561469263067481,-2.9482980090197497,2.4899389721235177,-5.283324739688215,-0.16739829772442616,0.10204081632653056,-0.22448979591836737,0.05432156081521521,0.2817935587093879
se_sdr,2,94,7.015712041111627,6.35895278267059,5.206776635990984,9.060949335451914,4.429123773289966,8.66521228762578,-0.3712299575450991,-2.847480373187767,11.680897453597195,12.087081230110453,0.5638297872340425,0.43617021276595747,0.5106382978723404,0.48936170212765956,-0.3712299575450991,-2.847480373187767,-2.805207765767748,1.966907260901179,-5.620147375713454,-0.3824685151252545,0.12765957446808507,0.021276595744680826,0.02975255022081256,0.22766680749343213
se_sdr,4,89,5.517715772510999,4.594368201894429,3.912172428138031,7.343214717702927,3.1911309815810767,6.112816951969155,2.3766207437822358,-1.0792913412367193,9.52772239883509,8.661707213999964,0.6292134831460674,0.3707865168539326,0.43820224719101125,0.5617977528089888,2.3766207437822358,-1.0792913412367193,0.41108516040795884,4.393682406449233,-2.831436629766195,0.5462108621879818,0.2584269662921348,-0.12359550561797755,0.0015930940793258163,0.34538984946242096
se_sdr,6,74,5.605725817291464,5.054472639506715,3.9585389211175697,7.255808328375159,3.455339672630308,6.661396442609472,2.814101344566325,-1.2349485817118926,8.929318811207496,8.851306770083061,0.6486486486486487,0.35135135135135137,0.33783783783783783,0.6621621621621622,2.814101344566325,-1.2349485817118926,0.8514268954287131,4.8638429322998125,-3.3145293999622623,0.7695212296300477,0.2972972972972973,-0.32432432432432434,0.00011633642203442393,0.4735250387348422
se_sdr,8,49,5.794796357877927,5.906952037411849,3.732840325303449,8.034166755943582,3.8392506580301693,8.579999236869702,1.0993519968813958,-1.8554239660453151,9.815147114894927,10.32699771393603,0.5714285714285714,0.42857142857142855,0.32653061224489793,0.673469387755102,1.0993519968813958,-1.8554239660453151,-1.6853767112832194,3.7773718973185058,-4.802277613390986,1.0568013697617935,0.14285714285714285,-0.3469387755102041,0.040209462149218084,0.30125075780311217
