metric,prefix,N,MAD_anchor,MAD_arecho,MAD_anchor_CI_low,MAD_anchor_CI_high,MAD_arecho_CI_low,MAD_arecho_CI_high,mean_anchor,mean_arecho,std_anchor,std_arecho,p_value,cohen_d
nisqa_noi_pred,8,49,0.3083955656992647,0.22833893239698425,0.238596735703057,0.392513240268534,0.17835794173614009,0.28109388420029,0.1325029247452534,0.08792943466335952,0.3916275350664352,0.2819896989332805,0.2809176683367917,0.15579208557438382
nisqa_dis_pred,2,94,1.2168446696742745,0.7345938885210928,0.9839344444505391,1.4556524341666708,0.6120015617850589,0.8694984499269913,-0.9023393284079663,-0.4101536953122272,1.4330001637103635,0.9036647713629944,0.0013492821102769074,-0.34090189864929143
nisqa_dis_pred,4,89,0.7863414737647969,0.6051418971759329,0.6144836320980921,0.9713379447022762,0.4872262149846143,0.7302326751970479,-0.26503299064334124,-0.042820243396288114,1.147877073624972,0.847402061206861,0.0707846195255415,-0.19387512615600452
nisqa_dis_pred,6,74,0.8289659433103236,0.554689414361705,0.6262333768707112,1.0568609916032796,0.43709939265243397,0.6789829809402624,-0.24299375627957734,-0.03511124529073066,1.2329272731549954,0.7834061754523101,0.11130630090233415,-0.18737575785656307
nisqa_dis_pred,8,49,0.5395559653005935,0.5042934703608046,0.3776811633571407,0.7084915784457142,0.3677892761097201,0.6601290154814692,-0.0684696853468627,-0.04065111513734196,0.8102505369957337,0.7413428419011437,0.8219069273612242,-0.032332653418767655
se_si_snr,2,94,5.859910066731261,7.476113314468116,4.302348469991225,7.818223872676679,5.133039530810461,10.325573164303727,0.14418262910340746,-4.133567231783274,10.446627760350234,13.866323740485358,0.0008926097134117556,0.3540967507877764
se_si_snr,4,89,4.661829405357614,4.155259819124307,3.5077956735241247,6.0629241387033215,2.849953462664245,5.638283483695056,1.9422481285673654,-1.6170248878526101,7.650115672285268,7.807621814869017,8.052157483559662e-06,0.5028162687338064
se_si_snr,6,74,5.413183900423435,5.068671184702842,3.813821279933167,7.146682793958481,3.379921653726013,7.111643453918152,2.3063319488238996,-1.3968506499722197,8.869393703950472,9.469588593294484,1.6163360944067848e-06,0.6068625359219412
se_si_snr,8,49,5.975664732544336,4.62625489693354,3.8974254878795827,8.400095533385217,2.7104704420293326,7.0788470128087475,-0.09441987786778851,-2.561469263067481,9.805650027146182,9.009367447082212,0.05432156081521521,0.2817935587093879
se_sdr,2,94,7.015712041111627,6.35895278267059,5.28926526681508,8.901601660871597,4.375248061209873,8.730441382824129,-0.3712299575450991,-2.847480373187767,11.680897453597195,12.087081230110453,0.02975255022081256,0.22766680749343213
